,close
341,-2.035600639721456
342,-2.0403152041940222
343,-2.0403152041940222
344,-2.0403152041940222
345,-2.0403152041940222
346,-2.0444404481075167
347,-2.0444404481075167
348,-2.0444404481075167
349,-2.0444404481075167
350,-2.0403152041940222
351,-2.0403152041940222
352,-2.0403152041940222
353,-2.0403152041940222
354,-2.0403152041940222
355,-2.035600639721456
356,-2.0403152041940222
357,-2.035600639721456
358,-2.035600639721456
359,-2.035600639721456
360,-2.035600639721456
361,-2.035600639721456
362,-2.035600639721456
363,-2.035600639721456
364,-2.0403152041940222
365,-2.0403152041940222
366,-2.035600639721456
367,-2.0403152041940222
368,-2.0403152041940222
369,-2.0403152041940222
370,-2.0403152041940222
371,-2.0403152041940222
372,-2.0403152041940222
373,-2.0403152041940222
374,-2.035600639721456
375,-2.035600639721456
376,-2.0314753958079614
377,-2.035600639721456
378,-2.035600639721456
379,-2.0314753958079614
380,-2.0273501518944657
381,-2.009670535122345
382,-2.0055452912088505
383,-2.0143850995949104
384,-2.0185103435084057
385,-2.0185103435084057
386,-2.0226355874219
387,-2.0185103435084057
388,-2.0226355874219
389,-2.0273501518944657
390,-2.0226355874219
391,-2.0226355874219
392,-2.0226355874219
393,-2.0226355874219
394,-2.0226355874219
395,-2.0185103435084057
396,-2.0226355874219
397,-2.0226355874219
398,-2.0273501518944657
399,-2.0226355874219
400,-2.0273501518944657
401,-2.0226355874219
402,-2.0273501518944657
403,-2.0273501518944657
404,-2.0226355874219
405,-2.0226355874219
406,-2.0273501518944657
407,-2.0273501518944657
408,-2.0273501518944657
409,-2.0226355874219
410,-2.0273501518944657
411,-2.0273501518944657
412,-2.0273501518944657
413,-2.0273501518944657
414,-2.0226355874219
415,-2.0273501518944657
416,-2.0226355874219
417,-2.0273501518944657
418,-2.0273501518944657
419,-2.0185103435084057
420,-2.0185103435084057
421,-2.0185103435084057
422,-2.0143850995949104
423,-2.009670535122345
424,-2.001420047295355
425,-2.0055452912088505
426,-2.001420047295355
427,-2.001420047295355
428,-2.001420047295355
429,-2.001420047295355
430,-2.0055452912088505
431,-2.0055452912088505
432,-2.009670535122345
433,-2.0143850995949104
434,-2.0143850995949104
435,-2.009670535122345
436,-2.0143850995949104
437,-2.009670535122345
438,-2.009670535122345
439,-2.0143850995949104
440,-2.009670535122345
441,-2.009670535122345
442,-2.009670535122345
443,-2.0055452912088505
444,-2.0055452912088505
445,-1.9967054828227895
446,-2.001420047295355
447,-2.0055452912088505
448,-1.9967054828227895
449,-1.9967054828227895
450,-1.992580238909295
451,-1.9796151866097396
452,-1.9707753782236785
453,-1.966650134310184
454,-1.957810325924123
455,-1.9365947857975778
456,-1.9495598380971333
457,-1.9324695418840825
458,-1.927754977411517
459,-1.9407200297110723
460,-1.9454345941836386
461,-1.9495598380971333
462,-1.9454345941836386
463,-1.9454345941836386
464,-1.9536850820106277
465,-1.9625248903966888
466,-1.9625248903966888
467,-1.966650134310184
468,-1.9625248903966888
469,-1.966650134310184
470,-1.9625248903966888
471,-1.966650134310184
472,-1.9707753782236785
473,-1.9707753782236785
474,-1.9707753782236785
475,-1.966650134310184
476,-1.966650134310184
477,-1.966650134310184
478,-1.966650134310184
479,-1.9625248903966888
480,-1.957810325924123
481,-1.957810325924123
482,-1.9536850820106277
483,-1.957810325924123
484,-1.957810325924123
485,-1.957810325924123
486,-1.957810325924123
487,-1.9625248903966888
488,-1.9625248903966888
489,-1.966650134310184
490,-1.966650134310184
491,-1.966650134310184
492,-1.9707753782236785
493,-1.9707753782236785
494,-1.9707753782236785
495,-1.9754899426962442
496,-1.9796151866097396
497,-1.9754899426962442
498,-1.9754899426962442
499,-1.9796151866097396
500,-1.9796151866097396
501,-1.9796151866097396
502,-1.9707753782236785
503,-1.9707753782236785
504,-1.9707753782236785
505,-1.9707753782236785
506,-1.9754899426962442
507,-1.9754899426962442
508,-1.9754899426962442
509,-1.9707753782236785
510,-1.9754899426962442
511,-1.9754899426962442
512,-1.9754899426962442
513,-1.9754899426962442
514,-1.9707753782236785
515,-1.9707753782236785
516,-1.9707753782236785
517,-1.9754899426962442
518,-1.9754899426962442
519,-1.9707753782236785
520,-1.9707753782236785
521,-1.9707753782236785
522,-1.9754899426962442
523,-1.9754899426962442
524,-1.9707753782236785
525,-1.9625248903966888
526,-1.9625248903966888
527,-1.9625248903966888
528,-1.966650134310184
529,-1.9625248903966888
530,-1.957810325924123
531,-1.957810325924123
532,-1.9707753782236785
533,-1.9707753782236785
534,-1.966650134310184
535,-1.966650134310184
536,-1.9707753782236785
537,-1.9707753782236785
538,-1.9754899426962442
539,-1.9754899426962442
540,-1.9796151866097396
541,-1.9754899426962442
542,-1.9754899426962442
543,-1.966650134310184
544,-1.966650134310184
545,-1.966650134310184
546,-1.957810325924123
547,-1.9495598380971333
548,-1.9454345941836386
549,-1.9454345941836386
550,-1.9495598380971333
551,-1.9495598380971333
552,-1.9495598380971333
553,-1.9495598380971333
554,-1.9536850820106277
555,-1.9536850820106277
556,-1.966650134310184
557,-1.957810325924123
558,-1.966650134310184
559,-1.9625248903966888
560,-1.9625248903966888
561,-1.966650134310184
562,-1.966650134310184
563,-1.9625248903966888
564,-1.9625248903966888
565,-1.957810325924123
566,-1.957810325924123
567,-1.957810325924123
568,-1.957810325924123
569,-1.966650134310184
570,-1.966650134310184
571,-1.966650134310184
572,-1.9707753782236785
573,-1.966650134310184
574,-1.966650134310184
575,-1.9707753782236785
576,-1.966650134310184
577,-1.9707753782236785
578,-1.966650134310184
579,-1.966650134310184
580,-1.966650134310184
581,-1.966650134310184
582,-1.9625248903966888
583,-1.966650134310184
584,-1.957810325924123
585,-1.9625248903966888
586,-1.957810325924123
587,-1.957810325924123
588,-1.9625248903966888
589,-1.9625248903966888
590,-1.966650134310184
591,-1.966650134310184
592,-1.9625248903966888
593,-1.966650134310184
594,-1.9707753782236785
595,-1.966650134310184
596,-1.966650134310184
597,-1.966650134310184
598,-1.9707753782236785
599,-1.9754899426962442
600,-1.9707753782236785
601,-1.9707753782236785
602,-1.966650134310184
603,-1.966650134310184
604,-1.966650134310184
605,-1.966650134310184
606,-1.966650134310184
607,-1.9707753782236785
608,-1.9707753782236785
609,-1.9707753782236785
610,-1.9707753782236785
611,-1.966650134310184
612,-1.9707753782236785
613,-1.9707753782236785
614,-1.9707753782236785
615,-1.9707753782236785
